江西电信频道,#genre#
南昌新闻综合,rtsp://115.153.232.67/PLTV/88888888/224/3221227078/113409131.smil
南昌都市,http://115.153.232.67/PLTV/88888888/224/3221227075/113409249.smil/index.m3u8?fmt=ts2hls
南昌都市,rtsp://115.153.232.67/PLTV/88888888/224/3221227075/113409249.smil
南昌资讯,http://115.153.232.67/PLTV/88888888/224/3221227080/113409255.smil/index.m3u8?fmt=ts2hls
南昌资讯,rtsp://115.153.232.67/PLTV/88888888/224/3221227080/113409255.smil
赣州新闻综合,http://115.153.232.67/PLTV/88888888/224/3221227254/121266741.smil/index.m3u8?fmt=ts2hls
赣州新闻综合,rtsp://115.153.232.67/PLTV/88888888/224/3221227254/121266741.smil
赣州公共,http://115.153.232.67/PLTV/88888888/224/3221227262/121375235.smil/index.m3u8?fmt=ts2hls
赣州公共,rtsp://115.153.232.67/PLTV/88888888/224/3221227262/121375235.smil
赣州教育,http://115.153.232.67/PLTV/88888888/224/3221227263/121375179.smil/index.m3u8?fmt=ts2hls
赣州教育,rtsp://115.153.232.67/PLTV/88888888/224/3221227263/121375179.smil
九江新闻综合,http://115.153.232.67/PLTV/88888888/224/3221227268/122499157.smil/index.m3u8?fmt=ts2hls
九江新闻综合,rtsp://115.153.232.67/PLTV/88888888/224/3221227268/122499157.smil
九江公共,http://115.153.232.67/PLTV/88888888/224/3221227270/122499168.smil/index.m3u8?fmt=ts2hls
九江公共,rtsp://115.153.232.67/PLTV/88888888/224/3221227270/122499168.smil
九江教育,http://115.153.232.67/PLTV/88888888/224/3221225607/iptv7994.smil/index.m3u8?fmt=ts2hls
九江教育,rtsp://115.153.232.67/PLTV/88888888/224/3221225607/iptv7994.smil
九江教育,http://115.153.232.67/PLTV/88888888/224/3221227272/122501308.smil/index.m3u8?fmt=ts2hls
九江教育,rtsp://115.153.232.67/PLTV/88888888/224/3221227272/122501308.smil
江西卫视,http://115.153.232.67/PLTV/88888888/224/3221226656/46275837.smil/index.m3u8?fmt=ts2hls
江西卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226656/46275837.smil
东南卫视,http://115.153.232.67/PLTV/88888888/224/3221226677/51176347.smil/index.m3u8?fmt=ts2hls
东南卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226677/51176347.smil
东方卫视,http://115.153.232.67/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil/index.m3u8?fmt=ts2hls
东方卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
云南卫视,http://115.153.232.67/PLTV/88888888/224/3221226937/72640386.smil/index.m3u8?fmt=ts2hls
云南卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226937/72640386.smil
北京卫视,http://115.153.232.67/PLTV/88888888/224/3221225546/iptv51912.smil/index.m3u8?fmt=ts2hls
北京卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225546/iptv51912.smil
吉林卫视,http://115.153.232.67/PLTV/88888888/224/3221226831/59814731.smil/index.m3u8?fmt=ts2hls
吉林卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226831/59814731.smil
天津卫视,http://115.153.232.67/PLTV/88888888/224/3221226652/46098366.smil/index.m3u8?fmt=ts2hls
天津卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226652/46098366.smil
四川卫视,http://115.153.232.67/PLTV/88888888/224/3221226693/51813384.smil/index.m3u8?fmt=ts2hls
四川卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226693/51813384.smil
安徽卫视,http://115.153.232.67/PLTV/88888888/224/3221226622/51176344.smil/index.m3u8?fmt=ts2hls
安徽卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226622/51176344.smil
山东卫视,http://115.153.232.67/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil/index.m3u8?fmt=ts2hls
山东卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil
广东卫视,http://115.153.232.67/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil/index.m3u8?fmt=ts2hls
广东卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
广西卫视,http://115.153.232.67/PLTV/88888888/224/3221226954/71778425.smil/index.m3u8?fmt=ts2hls
广西卫视,rtsp://115.153.232.67/PLTV/88888888/224/3221226954/71778425.smil
